Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts,finbert_compound_lag_1,finbert_compound_lag_2,finbert_compound_lag_3,finbert_compound_rolling_3,finbert_compound_rolling_7,n_posts_log,return_lag_1,return_lag_2,return_lag_3,return_rolling_3,return_rolling_7,volatility_7
2020-01-13,3288.1298828125,0.6976215252569862,0,0.0918460675618714,0.8518040080865225,0.056349917107986,-0.0354961504538854,18,-0.0240742055300091,-0.1502795785077308,-0.1008918495119913,-0.06994997816387509,-0.06559017590813197,2.9444389791664403,-0.2855178689662563,0.6655262605488987,0.4902451368978155,0.3592099722798762,0.13355734590228618,0.5520333963403476
2020-01-14,3283.14990234375,-0.1514532772802224,1,0.1220776923981152,0.7972502261400223,0.0806720857753565,-0.0414056066227586,19,-0.0354961504538854,-0.0240742055300091,-0.1502795785077308,-0.0336586542022177,-0.07171297560199785,2.995732273553991,0.6976215252569862,-0.2855178689662563,0.6655262605488987,0.08688345967016915,0.2127764571771884,0.439869640372773
2020-01-15,3289.2900390625,0.1870196884512287,1,0.2056320087363322,0.7127992702027162,0.0815687220543623,-0.1240632866819699,15,-0.0414056066227586,-0.0354961504538854,-0.0240742055300091,-0.06698834791953796,-0.08685145849278449,2.772588722239781,-0.1514532772802224,0.6976215252569862,-0.2855178689662563,0.24439597880933084,0.1890167999455469,0.435481767245526
2020-01-16,3316.81005859375,0.8366553026468271,1,0.157581776873592,0.7339254030409981,0.1084928023902808,-0.0490889744833111,17,-0.1240632866819699,-0.0414056066227586,-0.0354961504538854,-0.07151928926267988,-0.07504280739880802,2.8903717578961645,0.1870196884512287,-0.1514532772802224,0.6976215252569862,0.29074057127261116,0.3485852525078968,0.43946682665579423
2020-01-17,3329.6201171875,0.3862162248501333,0,0.1786549884825944,0.7186510011553764,0.1026940134353935,-0.0759609750472009,20,-0.0490889744833111,-0.1240632866819699,-0.0414056066227586,-0.08303774540416063,-0.07148125390383797,3.044522437723423,0.8366553026468271,0.1870196884512287,-0.1514532772802224,0.4699637386493964,0.3337239793582279,0.43562007826815813
2020-01-21,3320.7900390625,-0.2651977647365577,1,0.1247860729008128,0.8168860603319971,0.0583278620125431,-0.0664582108882697,19,-0.0759609750472009,-0.0490889744833111,-0.1240632866819699,-0.06383605347292723,-0.05950677281534352,2.995732273553991,0.3862162248501333,0.8366553026468271,0.1870196884512287,0.3192245875868009,0.2007634043174484,0.45888524630930716
2020-01-22,3321.75,0.0289076071118055,1,0.0669885704914728,0.8354355275630951,0.0975758969162901,0.0305873264248172,30,-0.0664582108882697,-0.0759609750472009,-0.0490889744833111,-0.03727728650355113,-0.05169798253608263,3.4339872044851463,-0.2651977647365577,0.3862162248501333,0.8366553026468271,0.0499753557417937,0.24568132947145724,0.4168124306303534
2020-01-23,3325.5400390625,0.1140976612478361,0,0.0727576966293984,0.8177331545286708,0.1095091422191924,0.036751445589794,18,0.0305873264248172,-0.0664582108882697,-0.0759609750472009,0.00029352037544716725,-0.04137689738698557,2.9444389791664403,0.0289076071118055,-0.2651977647365577,0.3862162248501333,-0.0407308321256387,0.16232077747015008,0.36670084622543075
2020-01-24,3295.469970703125,-0.9042160974207404,0,0.0828341050073504,0.725153896510601,0.1920120000839233,0.1091778950765729,25,0.036751445589794,0.0305873264248172,-0.0664582108882697,0.05883888903039469,-0.019864968572795356,3.258096538021482,0.1140976612478361,0.0289076071118055,-0.2651977647365577,-0.25373694302036626,0.054783231735790375,0.5423580529509131
2020-01-27,3243.6298828125,-1.5730711659182384,1,0.2090501843020319,0.6930315917357802,0.0979182234732434,-0.1111319608287885,20,0.1091778950765729,0.036751445589794,0.0305873264248172,0.011599126612526128,-0.018017636308055158,3.044522437723423,-0.9042160974207404,0.1140976612478361,0.0289076071118055,-0.7877298673637142,-0.1966583188884192,0.8118679112001523
2020-01-28,3276.239990234375,1.0053584595046017,0,0.125453892060452,0.8063076279229588,0.068238474532134,-0.057215417528318,18,-0.1111319608287885,0.1091778950765729,0.036751445589794,-0.0197231610935112,-0.01917855674305614,2.9444389791664403,-1.5730711659182384,-0.9042160974207404,0.1140976612478361,-0.4906429346114591,-0.17255786790873712,0.8492956399614402
2020-01-29,3273.39990234375,-0.0866874190868394,1,0.1186065228862894,0.7906099539250135,0.0907835143928726,-0.0278230084934168,27,-0.057215417528318,-0.1111319608287885,0.1091778950765729,-0.06539012895017443,-0.012301704378229842,3.332204510175204,1.0053584595046017,-1.5730711659182384,-0.9042160974207404,-0.21813337516682538,-0.24011553132830463,0.8155790873545483
2020-01-30,3283.659912109375,0.3134358792605374,0,0.0959300018268926,0.7770487079075699,0.1270212853520081,0.0310912835251154,29,-0.0278230084934168,-0.057215417528318,-0.1111319608287885,-0.017982380832206466,0.0016339376808251725,3.4011973816621555,-0.0866874190868394,1.0053584595046017,-1.5730711659182384,0.41070230655943324,-0.15745358218586247,0.8415238704537169
2020-01-31,3225.52001953125,-1.770582037552626,1,0.1324862810886568,0.7985742323928409,0.0689394925203588,-0.063546788568298,18,0.0310912835251154,-0.0278230084934168,-0.057215417528318,-0.020092837845533135,-0.011813793032476998,2.9444389791664403,0.3134358792605374,-0.0866874190868394,1.0053584595046017,-0.5146111924596427,-0.4145235314236384,1.0290637133085392
2020-02-03,3248.919921875,0.7254613892351713,1,0.0950795457939858,0.7949037118642418,0.1100167372022514,0.0149371914082655,27,-0.063546788568298,0.0310912835251154,-0.0278230084934168,-0.005839437878305702,-0.01493011505840964,3.332204510175204,-1.770582037552626,0.3134358792605374,-0.0866874190868394,-0.24389492301897242,-0.3271858559968762,1.1045785714799077
2020-02-04,3297.590087890625,1.4980414164082134,1,0.1255712680849096,0.736402606441369,0.1380261184587594,0.0124548503738497,62,0.0149371914082655,-0.063546788568298,0.0310912835251154,-0.012051582262060935,-0.02874769287308438,4.143134726391533,0.7254613892351713,-1.770582037552626,0.3134358792605374,0.15097358936358626,0.015993788835831437,1.2579512271584483
