Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts,finbert_compound_lag_1,finbert_compound_lag_2,finbert_compound_lag_3,finbert_compound_rolling_3,finbert_compound_rolling_7,n_posts_log,return_lag_1,return_lag_2,return_lag_3,return_rolling_3,return_rolling_7,volatility_7
2020-01-08,8079.86279296875,-1.0268587535248286,0,0.1840416613723272,0.732808520288571,0.0831498118603359,-0.1008918495119913,23,-0.1317495321411462,-0.0180939064464635,-0.1110661458224058,-0.08357842936653369,-0.034931680956334976,3.1780538303479458,5.077384643588934,4.829126010697582,0.0089147906127795,2.9598839669205623,1.7067557867744036,3.31487151538344
2020-01-09,7879.0712890625,-2.4850855645838776,1,0.211909167076412,0.7264612317085266,0.0616295885686811,-0.1502795785077308,19,-0.1008918495119913,-0.1317495321411462,-0.0180939064464635,-0.12764032005362277,-0.04803464432179533,2.995732273553991,-1.0268587535248286,5.077384643588934,4.829126010697582,0.5218134418267425,1.7777334512994314,3.201112854312263
2020-01-10,8166.55419921875,3.648690303834745,0,0.0994327401609293,0.8252087129013879,0.0753585346309202,-0.0240742055300091,14,-0.1502795785077308,-0.1008918495119913,-0.1317495321411462,-0.09174854451657706,-0.05168152957383985,2.70805020110221,-2.4850855645838776,-1.0268587535248286,5.077384643588934,0.04558199524201297,1.5639511597742128,2.98115459212351
2020-01-11,8037.53759765625,-1.5798168776598898,1,0.3731769183650613,0.5016017779707909,0.1252213325351476,-0.2479555858299136,4,-0.0240742055300091,-0.1502795785077308,-0.1008918495119913,-0.1407697899558845,-0.11201582911280862,1.6094379124341003,3.648690303834745,-2.4850855645838776,-1.0268587535248286,-0.1387373794696741,1.2103363647093492,3.2115630922419975
2020-01-12,8192.494140625,1.9279106453441,0,0.0915638928301632,0.8593627095222474,0.0490733882412314,-0.0424905045889318,10,-0.2479555858299136,-0.0240742055300091,-0.1502795785077308,-0.10484009864961817,-0.10221930893659804,2.3978952727983707,-1.5798168776598898,3.648690303834745,-2.4850855645838776,1.332261357172985,1.4844786296709664,3.1735953888337667
2020-01-13,8144.1943359375,-0.5895616628883604,1,0.0918460675618714,0.8518040080865225,0.056349917107986,-0.0354961504538854,18,-0.0424905045889318,-0.2479555858299136,-0.0240742055300091,-0.10864741362424359,-0.10470534379480119,2.9444389791664403,1.9279106453441,-1.5798168776598898,3.648690303834745,-0.08048929840138341,0.7103803905872603,2.8679442869311345
2020-01-14,8827.7646484375,8.393344808628168,0,0.1220776923981152,0.7972502261400223,0.0806720857753565,-0.0414056066227586,19,-0.0354961504538854,-0.0424905045889318,-0.2479555858299136,-0.03979742055519193,-0.09179906872074581,2.995732273553991,-0.5895616628883604,1.9279106453441,-1.5798168776598898,3.2438979303613027,1.1840889855928651,3.8239823018662595
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.2056320087363322,0.7127992702027162,0.0815687220543623,-0.1240632866819699,15,-0.0414056066227586,-0.0354961504538854,-0.0424905045889318,-0.06698834791953796,-0.09510927403074275,2.772588722239781,8.393344808628168,-0.5895616628883604,1.9279106453441,2.5228950179311194,1.2971976515326333,3.7588404890712526
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.157581776873592,0.7339254030409981,0.1084928023902808,-0.0490889744833111,17,-0.1240632866819699,-0.0414056066227586,-0.0354961504538854,-0.07151928926267988,-0.08065347345582563,2.8903717578961645,-0.2350980919464507,8.393344808628168,-0.5895616628883604,2.404421787497928,1.5172125387320539,3.5392123758057688
2020-01-17,8929.0380859375,2.352785247141642,1,0.1786549884825944,0.7186510011553764,0.1026940134353935,-0.0759609750472009,20,-0.0490889744833111,-0.1240632866819699,-0.0414056066227586,-0.08303774540416063,-0.08806586910113876,3.044522437723423,-0.9449813541879348,-0.2350980919464507,8.393344808628168,0.3909019336690858,1.3320832449187532,3.4416861116381456
