Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts
2020-01-02,6985.47021484375,-2.981929216259072,1,0.222580544417724,0.6133977454155684,0.1640217094682157,-0.0585588349495083,12
2020-01-03,7344.88427734375,5.145166344511276,1,0.0788347197075684,0.840876575311025,0.080288710941871,0.0014539912343025,15
2020-01-04,7410.65673828125,0.8954866877941559,1,0.0639035393084798,0.6978084029895919,0.2382880502513476,0.1743845109428678,7
2020-01-05,7411.3173828125,0.0089147906127795,1,0.1624945770949125,0.7860770106315613,0.0514284312725067,-0.1110661458224058,5
2020-01-06,7769.21923828125,4.829126010697582,1,0.0978131750598549,0.8224675522910224,0.0797192686133914,-0.0180939064464635,9
2020-01-07,8163.6923828125,5.077384643588934,0,0.2143105206390222,0.7031284953866687,0.0825609884978759,-0.1317495321411462,21
2020-01-08,8079.86279296875,-1.0268587535248286,0,0.1840416613723272,0.732808520288571,0.0831498118603359,-0.1008918495119913,23
2020-01-09,7879.0712890625,-2.4850855645838776,1,0.211909167076412,0.7264612317085266,0.0616295885686811,-0.1502795785077308,19
2020-01-10,8166.55419921875,3.648690303834745,0,0.0994327401609293,0.8252087129013879,0.0753585346309202,-0.0240742055300091,14
2020-01-11,8037.53759765625,-1.5798168776598898,1,0.3731769183650613,0.5016017779707909,0.1252213325351476,-0.2479555858299136,4
2020-01-12,8192.494140625,1.9279106453441,0,0.0915638928301632,0.8593627095222474,0.0490733882412314,-0.0424905045889318,10
2020-01-13,8144.1943359375,-0.5895616628883604,1,0.0918460675618714,0.8518040080865225,0.056349917107986,-0.0354961504538854,18
2020-01-14,8827.7646484375,8.393344808628168,0,0.1220776923981152,0.7972502261400223,0.0806720857753565,-0.0414056066227586,19
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.2056320087363322,0.7127992702027162,0.0815687220543623,-0.1240632866819699,15
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.157581776873592,0.7339254030409981,0.1084928023902808,-0.0490889744833111,17
2020-01-17,8929.0380859375,2.352785247141642,1,0.1786549884825944,0.7186510011553764,0.1026940134353935,-0.0759609750472009,20
2020-01-18,8942.80859375,0.1542216270102647,0,0.1629970452748239,0.7221600323915481,0.1148429214954376,-0.0481541237793862,10
2020-01-19,8706.2451171875,-2.6452928527155417,0,0.1206730601067344,0.835540364185969,0.0437865822265545,-0.0768864778801798,6
2020-01-20,8657.642578125,-0.5582491465413786,1,0.0924070859327912,0.857893624088981,0.0496992980214682,-0.0427077879113229,11
2020-01-21,8745.89453125,1.0193531591149665,0,0.1247860729008128,0.8168860603319971,0.0583278620125431,-0.0664582108882697,19
2020-01-22,8680.8759765625,-0.7434180055016837,0,0.0669885704914728,0.8354355275630951,0.0975758969162901,0.0305873264248172,30
2020-01-23,8406.515625,-3.160514587505292,1,0.0727576966293984,0.8177331545286708,0.1095091422191924,0.036751445589794,18
2020-01-24,8445.4345703125,0.4629616722148233,0,0.0828341050073504,0.725153896510601,0.1920120000839233,0.1091778950765729,25
2020-01-25,8367.84765625,-0.918684685986848,1,0.1315974593162536,0.8161241872744127,0.05227836526253,-0.0793190940537236,11
2020-01-26,8596.830078125,2.736455433721608,1,0.03508282239948,0.90197605746133,0.0629410988518169,0.0278582764523369,7
2020-01-27,8909.8193359375,3.6407519395889274,1,0.2090501843020319,0.6930315917357802,0.0979182234732434,-0.1111319608287885,20
2020-01-28,9358.58984375,5.036808165148732,0,0.125453892060452,0.8063076279229588,0.068238474532134,-0.057215417528318,18
2020-01-29,9316.6298828125,-0.4483577295090302,1,0.1186065228862894,0.7906099539250135,0.0907835143928726,-0.0278230084934168,27
2020-01-30,9508.9931640625,2.064730312029206,0,0.0959300018268926,0.7770487079075699,0.1270212853520081,0.0310912835251154,29
2020-01-31,9350.529296875,-1.6664631518128026,1,0.1324862810886568,0.7985742323928409,0.0689394925203588,-0.063546788568298,18
2020-02-01,9392.875,0.4528695839619789,0,0.0933588513483603,0.6587105840444565,0.2479305648141437,0.1545717134657833,9
2020-02-02,9344.365234375,-0.516452796667688,0,0.1035874652986725,0.7723282260199388,0.1240843053907156,0.020496840092043,15
2020-02-03,9293.521484375,-0.5441113304621492,0,0.0950795457939858,0.7949037118642418,0.1100167372022514,0.0149371914082655,27
2020-02-04,9180.962890625,-1.2111511652417528,1,0.1255712680849096,0.736402606441369,0.1380261184587594,0.0124548503738497,62
2020-02-05,9613.423828125,4.710409383547343,1,0.1323174738697707,0.7331071312353015,0.1345753950811922,0.0022579212114214,50
2020-02-06,9729.8017578125,1.2105773319493585,1,0.1305278563522733,0.7777573509374633,0.0917147874861257,-0.0388130688661476,32
2020-02-07,9795.943359375,0.6797836503646293,1,0.0968606771018944,0.8074773185347256,0.0956620051476516,-0.0011986719542428,38
2020-02-08,9865.119140625,0.7061676319697785,1,0.1966693309014258,0.7249557518440745,0.0783749254339415,-0.1182944054674843,23
2020-02-09,10116.673828125,2.549940694219166,0,0.0534818382002413,0.8687046427618373,0.0778135233982042,0.0243316851979629,22
2020-02-10,9856.611328125,-2.5706324471686526,1,0.1395339672686532,0.7656610919162631,0.0948049425147473,-0.0447290247539058,40
2020-02-11,10208.236328125,3.5674025108068053,1,0.1794597457932389,0.7197711611085612,0.100769100062873,-0.0786906457303658,46
2020-02-12,10326.0546875,1.1541499979814906,0,0.0828900986167861,0.7902046333326668,0.1269052690200385,0.0440151704032523,61
2020-02-13,10214.3798828125,-1.0814856987217514,1,0.1359013881495533,0.7381928744725883,0.1259057370092099,-0.0099956511403433,48
2020-02-14,10312.1162109375,0.9568503349817404,0,0.0815340327854092,0.8451740443706512,0.0732919240521418,-0.0082421087332673,37
2020-02-15,9889.4248046875,-4.09897830477971,1,0.072264169756737,0.8211575059427155,0.1065783195404542,0.0343141497837172,18
2020-02-16,9934.43359375,0.4551203932625647,0,0.259437320753932,0.6895665414631367,0.0509961638599634,-0.2084411568939685,12
2020-02-17,9690.142578125,-2.459033152918644,1,0.1251900635349253,0.8333927467465401,0.0414171816470722,-0.0837728818878531,18
2020-02-18,10141.99609375,4.66302236506857,0,0.0947284497229791,0.7978145957629128,0.1074569560587406,0.0127285063357614,41
2020-02-19,9633.38671875,-5.014884351152826,0,0.1209700284089194,0.7894674025010318,0.0895625655248295,-0.0314074628840899,64
2020-02-20,9608.4755859375,-0.2585916411308786,1,0.1354809261651502,0.7639115821156237,0.1006074952892959,-0.0348734308758543,54
2020-02-21,9686.44140625,0.8114275736580634,0,0.1179964185659108,0.7607876073036876,0.1212159800343215,0.0032195614684107,56
2020-02-22,9663.181640625,-0.2401270461409255,1,0.1044643799085979,0.8239333655523218,0.0716022551059722,-0.0328621248026256,23
2020-02-23,9924.515625,2.704430011708836,0,0.1887172746782501,0.7480484475692113,0.0632342891767621,-0.125482985501488,15
2020-02-24,9650.1748046875,-2.7642741538078885,0,0.1767581087395043,0.7466763003208374,0.076565580963457,-0.1001925277760473,59
2020-02-25,9341.705078125,-3.196519574056456,0,0.1635767150911744,0.7282141818216553,0.1082091041392198,-0.0553676109519545,54
2020-02-26,8820.5224609375,-5.579095174048332,0,0.194897120103373,0.7137588341055172,0.0913440497325999,-0.1035530703707731,56
2020-02-27,8784.494140625,-0.4084601617654115,0,0.1943296769744045,0.7014916165060895,0.1041787101997323,-0.0901509667746722,93
2020-02-28,8672.455078125,-1.2754184897438958,0,0.1472108046125088,0.7529755370602721,0.0998136520030952,-0.0473971526094135,105
2020-02-29,8599.5087890625,-0.8411261679117432,0,0.1753871001510156,0.7341720378647248,0.0904408585694101,-0.0849462415816055,45
2020-03-01,8562.4541015625,-0.4308930708592173,1,0.1083364567320261,0.80947468153068,0.0821888630943638,-0.0261475936376622,35
2020-03-02,8869.669921875,3.587941221856461,0,0.1741253741898797,0.7593982991513232,0.0664763349619969,-0.1076490392278827,71
2020-03-03,8787.7861328125,-0.9231886844013548,0,0.1817424675131118,0.7018192522472849,0.1164382782299071,-0.0653041892832047,76
2020-03-04,8755.24609375,-0.3702871072499114,1,0.2332165635057858,0.698801926854584,0.0679815078656824,-0.1652350556401033,63
2020-03-05,9078.7626953125,3.695117168590434,1,0.1700027740628617,0.7387939598865625,0.0912032682085182,-0.0787995058543434,41
2020-03-06,9122.5458984375,0.4822595830994203,0,0.1623695755687852,0.7088293552398681,0.128801068632553,-0.0335685069362322,60
2020-03-07,8909.9541015625,-2.330399860322019,0,0.134090189071786,0.8010326309336556,0.0648771714833047,-0.0692130175884813,36
2020-03-08,8108.1162109375,-8.999349283790192,0,0.1770236232085153,0.7635396057739854,0.0594367748592048,-0.1175868483493104,40
2020-03-09,7923.64453125,-2.275148442478603,0,0.1755054372631282,0.7251237993640406,0.0993707623030688,-0.0761346749600593,111
2020-03-10,7909.7294921875,-0.1756141256415655,1,0.1616620852371617,0.7464920136957399,0.091845903410426,-0.0698161818267357,62
2020-03-11,7911.43017578125,0.0215011600008585,0,0.1676426087702873,0.746638119063327,0.0857192665259812,-0.081923342244306,71
2020-03-12,4970.7880859375,-37.16953856011708,1,0.2103262830046359,0.7034972749040489,0.0861764352616162,-0.1241498477430197,171
2020-03-13,5563.70703125,11.928067241286833,0,0.1823235501642109,0.7366518913386543,0.0810245600696958,-0.1012989900945151,122
2020-03-14,5200.3662109375,-6.530552710121185,1,0.1844839547217513,0.752854579516376,0.06266147025033,-0.1218224844714212,72
2020-03-15,5392.31494140625,3.6910617960912,0,0.234503851654425,0.6913359953618762,0.0741601567993413,-0.1603436948550837,67
2020-03-16,5014.47998046875,-7.006915676163484,1,0.2076086419357257,0.726846563864414,0.0655447998979903,-0.1420638420377353,131
2020-03-17,5225.62939453125,4.210793838741411,1,0.1944157339721208,0.7043666753784886,0.1012175886536992,-0.0931981453184215,84
2020-03-18,5238.4384765625,0.2451203685560843,1,0.1563890223350861,0.7638829284388086,0.0797280474363461,-0.07666097489874,115
2020-03-19,6191.19287109375,18.187755736638024,1,0.2109072971018566,0.7164249114435295,0.0726677855455327,-0.1382395115563239,87
2020-03-20,6198.7783203125,0.1225199953657663,0,0.1766089252661913,0.732911049341783,0.0904800374642945,-0.0861288878018967,80
2020-03-21,6185.06640625,-0.221203491300348,0,0.1637873983051141,0.6965193645623715,0.1396932402706664,-0.0240941580344477,46
2020-03-22,5830.2548828125,-5.736583896317804,1,0.1997500294819474,0.722767999730049,0.0774819765908595,-0.1222680528910878,39
2020-03-23,6416.31494140625,10.052048673231171,1,0.1269019762985408,0.7699055786189788,0.103192441877635,-0.0237095344209057,68
2020-03-24,6734.8037109375,4.963733427047878,0,0.1931955787059787,0.726175481938336,0.0806289422899892,-0.1125666364159894,73
2020-03-25,6681.06298828125,-0.7979552925792555,1,0.223892631419003,0.6650237922867139,0.111083579758803,-0.1128090516601999,75
2020-03-26,6716.4404296875,0.5295181540467819,0,0.2687637954717502,0.6618659458123147,0.0693702633725479,-0.1993935320992022,80
2020-03-27,6469.79833984375,-3.672214358569481,0,0.1884699019099601,0.7198041202347787,0.0917259836416752,-0.0967439182682848,61
2020-03-28,6242.19384765625,-3.517953423460129,0,0.237452606544704,0.6987019463165386,0.0638454446216692,-0.1736071619230347,37
2020-03-29,5922.04296875,-5.128819878390301,1,0.1775040283306118,0.7718035661998917,0.0506924036890268,-0.126811624641585,34
2020-03-30,6429.841796875,8.574723804008189,1,0.1735494880407464,0.7437832584495053,0.0826672536010543,-0.090882234439692,51
2020-03-31,6438.64453125,0.1369043695488514,1,0.1364233812039837,0.7699791043996811,0.0935975172695644,-0.0428258639344192,47
2020-04-01,6606.7763671875,2.6112924097839496,1,0.1826985381504005,0.7326548357513991,0.0846466281788146,-0.0980519099715859,47
2020-04-02,6793.62451171875,2.828128789998541,0,0.3280164209269994,0.6065408786305705,0.0654426973212409,-0.2625737236057584,37
2020-04-03,6733.38720703125,-0.8866740365705117,1,0.1743157010694796,0.7274351926351136,0.0982491098090329,-0.0760665912604467,55
2020-04-04,6867.52734375,1.992164308903499,0,0.1642034007236361,0.7556002320383083,0.0801963870074938,-0.0840070137161422,22
2020-04-05,6791.12939453125,-1.1124520572645125,1,0.140016372470806,0.7616676098356644,0.0983160202546666,-0.0417003522161394,24
2020-04-06,7271.78125,7.077642429487629,0,0.141747112104366,0.7367444285299889,0.1215084587808611,-0.0202386533235048,43
2020-04-07,7176.41455078125,-1.3114627068677276,1,0.1449889924247251,0.7803026472413263,0.0747083604855592,-0.0702806319391658,43
2020-04-08,7334.0986328125,2.197254365887824,0,0.1373767818117307,0.7319123128222095,0.1307109133340418,-0.0066658684776888,36
2020-04-09,7302.08935546875,-0.4364445986660414,0,0.2351195582561195,0.6727359253913164,0.0921445214562118,-0.1429750367999077,50
2020-04-10,6865.4931640625,-5.979058460566089,0,0.1338293920727629,0.773796877586374,0.0923737310165283,-0.0414556610562345,51
2020-04-11,6859.0830078125,-0.0933677464505233,1,0.1776304502160318,0.7274338518900256,0.0949357024303847,-0.082694747785647,31
2020-04-12,6971.091796875,1.6329994685138294,0,0.1211545294499956,0.7867421394912526,0.092103335482534,-0.0290511939674615,32
2020-04-13,6845.03759765625,-1.8082418492216368,0,0.1878688901319707,0.7110820887120146,0.101049017920894,-0.0868198722110767,38
2020-04-14,6842.427734375,-0.0381278151363795,0,0.1268730935725298,0.77752674408257,0.095600166408853,-0.0312729271636767,55
2020-04-15,6642.10986328125,-2.9275847531044064,1,0.1040098938730455,0.796698160830044,0.0992919546702215,-0.0047179392028239,31
2020-04-16,7116.80419921875,7.146740203164859,0,0.2330577387573554,0.6919141930151493,0.0750280610146991,-0.1580296777426562,47
2020-04-17,7096.1845703125,-0.2897315751431484,1,0.1905328095003607,0.7196642883299362,0.0898029055734652,-0.1007299039268954,42
2020-04-18,7257.6650390625,2.275595669052466,0,0.142455503610628,0.741370303183794,0.1161741952544876,-0.0262813083561403,35
2020-04-19,7189.4248046875,-0.9402505352301916,0,0.1192664446055211,0.7817625374617901,0.098971019456671,-0.0202954251488501,22
2020-04-20,6881.95849609375,-4.276646838190478,0,0.1961705025189138,0.7233280565204292,0.0805014439954839,-0.1156690585234298,58
2020-04-21,6880.3232421875,-0.0237614613220693,1,0.1576955206692218,0.7641442423065503,0.0781602276489138,-0.079535293020308,45
2020-04-22,7117.20751953125,3.4429236680519004,1,0.1341910013844343,0.7436701508492909,0.1221388420936736,-0.0120521592907607,44
2020-04-23,7429.724609375,4.391007132869618,1,0.1465264609473389,0.708562319708425,0.1449112188894041,-0.0016152420579347,43
2020-04-24,7550.90087890625,1.6309658285092787,1,0.0975724760299691,0.7597857524569218,0.1426417798950122,0.045069303865043,26
2020-04-25,7569.93603515625,0.2520911948821203,1,0.081205858848989,0.8049236975965046,0.1138704429779734,0.0326645841289843,21
2020-04-26,7679.8671875,1.4522071498782596,1,0.0754881609464064,0.7691087828716263,0.1554030587431043,0.0799148977966979,16
2020-04-27,7795.60107421875,1.5069777105927384,1,0.1692876308583296,0.7843649178170241,0.046347441115918,-0.1229401897424115,26
2020-04-28,7807.05859375,0.1469741643032707,1,0.1560671278674687,0.7187412471643516,0.1251916261655943,-0.0308755017018743,35
2020-04-29,8801.0380859375,12.731805202323422,0,0.1166513816908348,0.7473770114051741,0.1359716070772603,0.0193202253864255,43
2020-04-30,8658.5537109375,-1.6189496467202469,1,0.1074619629730781,0.7942067841688792,0.0983312585080663,-0.0091307044650117,30
2020-05-01,8864.7666015625,2.3816089558295506,1,0.1861363661861637,0.7162802406563992,0.0975833916355197,-0.088552974550644,41
2020-05-02,8988.5966796875,1.3968791699848548,0,0.0804629673055091,0.8861799156076686,0.0333571196750326,-0.0471058476304765,86
2020-05-03,8897.46875,-1.0138170944239966,1,0.1305303095839917,0.8075847782194614,0.061884902883321,-0.0686454067006707,20
2020-05-04,8912.654296875,0.1706726632223265,1,0.1051193973980844,0.8172887437618696,0.077591840392695,-0.0275275570053893,26
2020-05-05,9003.0703125,1.0144678859214995,1,0.109786096200543,0.7890451121585149,0.1011687949250795,-0.0086173012754634,38
2020-05-06,9268.76171875,2.9511199738283755,1,0.2002358520403504,0.710610297535147,0.0891538446503026,-0.1110820073900478,35
2020-05-07,9951.5185546875,7.366214135771076,0,0.1373459961330301,0.7370526553673107,0.1256013427276251,-0.011744653405405,43
2020-05-08,9842.666015625,-1.0938284289408906,0,0.1809246491312104,0.7524676471948624,0.0666077100288342,-0.1143169391023762,34
2020-05-09,9593.896484375,-2.5274608612654736,0,0.0466514349604646,0.8565453211466472,0.0968032483011484,0.0501518133406837,15
2020-05-10,8756.4306640625,-8.729152140388742,0,0.0774457777850329,0.8643781781196594,0.0581760323606431,-0.0192697454243898,20
2020-05-11,8601.7958984375,-1.7659566044374797,1,0.2015787823657904,0.6755122605179037,0.1229089594313076,-0.0786698229344827,35
2020-05-12,8804.4775390625,2.3562712138033515,1,0.156474737697007,0.7766330238869962,0.0668922444422017,-0.0895824932548053,34
2020-05-13,9269.9873046875,5.287193516704303,1,0.1484838113107759,0.6559892184222522,0.1955269686067881,0.0470431572960122,23
2020-05-14,9733.7216796875,5.002535168149658,0,0.172310710302554,0.7535645620664582,0.074124714185018,-0.0981859961175359,32
2020-05-15,9328.197265625,-4.166180495059313,1,0.161048175097676,0.7353821054566652,0.1035697337356396,-0.0574784413620363,32
2020-05-16,9377.013671875,0.5233209039209763,1,0.1801996508147567,0.686908682420229,0.1328916653292253,-0.0473079854855313,24
2020-05-17,9670.7392578125,3.132400103227817,1,0.0933819002161423,0.8487559040387471,0.0578621902813514,-0.0355197099347909,15
2020-05-18,9726.5751953125,0.5773698991511145,1,0.2263399967696608,0.7125453467412692,0.0611146566707913,-0.1652253400988695,41
2020-05-19,9729.0380859375,0.0253212520907375,0,0.1556372733986271,0.7899467947759798,0.0544159315925623,-0.1012213418060647,28
2020-05-20,9522.9814453125,-2.117954918100662,0,0.2109297837234205,0.7282461096843084,0.0608241086411807,-0.1501056750822398,45
2020-05-21,9081.76171875,-4.633209978369557,1,0.1183607005048543,0.768140412028879,0.1134988819714635,-0.0048618185333907,40
2020-05-22,9182.5771484375,1.110086707949609,1,0.1491237295791506,0.688822440057993,0.1620538279103736,0.0129300983312229,30
2020-05-23,9209.287109375,0.2908765208909258,0,0.1986928281581236,0.6987755944331487,0.1025315553156866,-0.096161272842437,18
2020-05-24,8790.3681640625,-4.548874851409979,1,0.3491662448892991,0.6085105919175677,0.0423231939267781,-0.3068430509625209,9
2020-05-25,8906.9345703125,1.3260696716498988,0,0.1564508724259212,0.777390768751502,0.0661583615001291,-0.0902925109257921,16
2020-05-26,8835.052734375,-0.8070322664891605,1,0.1827003395236614,0.7016634965418942,0.1156361624339802,-0.0670641770896812,36
2020-05-27,9181.017578125,3.9158209254817056,1,0.1611684816321585,0.7310309878028021,0.1078005433536884,-0.0533679382784701,41
2020-05-28,9525.7509765625,3.754849563286689,0,0.1357916359250482,0.7554461606042949,0.1087622092546601,-0.0270294266703881,38
2020-05-29,9439.1240234375,-0.9093976247976698,1,0.0918702258652932,0.8158400195675928,0.0922897530568612,0.000419527191568,37
2020-05-30,9700.4140625,2.768159825145977,0,0.1297833205732916,0.8183710617678506,0.0518456235794084,-0.0779376969938831,14
2020-05-31,9461.05859375,-2.4674768232348376,1,0.1810529190503681,0.7388861924409866,0.0800608987143884,-0.1009920203359797,24
2020-06-01,10167.2685546875,7.464386293982206,0,0.1765521406045844,0.6686690739325939,0.1547787872052961,-0.0217733533992882,31
2020-06-02,9529.8037109375,-6.269774820259899,1,0.2059788732634236,0.7180189684343835,0.0760021543634745,-0.1299767188999491,48
2020-06-03,9656.7177734375,1.3317594606312655,1,0.1576888632864274,0.733542378863384,0.1087687522943677,-0.0489201109920596,29
2020-06-04,9800.63671875,1.4903505382374729,0,0.1638485923070799,0.7511291958560998,0.0850222269496457,-0.0788263653574342,22
2020-06-05,9665.533203125,-1.3785177382049874,0,0.1702108455735237,0.6114140619458848,0.2183751067969688,0.0481642612234451,43
2020-06-06,9653.6796875,-0.1226369552087214,1,0.152758269260327,0.7410963124906024,0.1061454038523758,-0.0466128654079511,24
2020-06-07,9758.8525390625,1.0894586827723485,1,0.1339263559172028,0.8015609805129076,0.0645126618052783,-0.0694136941119244,19
2020-06-08,9771.4892578125,0.1294898011771073,1,0.1028477333612361,0.7236848159109132,0.1734674505699994,0.0706197172087633,59
2020-06-09,9795.7001953125,0.2477712133863718,1,0.0936540980608417,0.7886580003282199,0.1176879026568853,0.0240338045960435,65
2020-06-10,9870.0947265625,0.7594610876882513,0,0.1376310458406806,0.7730644228783521,0.0893045289272611,-0.0483265169134194,55
2020-06-11,9321.78125,-5.555301055894358,1,0.111362644338182,0.8222558524991784,0.0663814944555125,-0.0449811498826694,63
2020-06-12,9480.84375,1.706353064227928,0,0.1155888252477679,0.7599603152592425,0.1244508522752396,0.0088620270274717,54
2020-06-13,9475.27734375,-0.0587121399400758,0,0.1702303282268669,0.7541610255189564,0.0756086547575567,-0.0946216734693102,23
2020-06-14,9386.7880859375,-0.9338962291258746,1,0.080776717280969,0.8114888831973076,0.1077343885786831,0.0269576712977141,20
2020-06-15,9450.7021484375,0.6808938469139436,1,0.1202982305807785,0.7634426487816705,0.1162591179211934,-0.0040391126595851,36
2020-06-16,9538.0244140625,0.9239764861221244,0,0.1692037139320746,0.7498279122635723,0.0809683712664991,-0.0882353426655754,40
2020-06-17,9480.2548828125,-0.6056760681470541,0,0.1587920999639512,0.7724988382930557,0.0687090568050431,-0.090083043158908,48
2020-06-18,9411.8408203125,-0.7216479234543938,0,0.2668615057699236,0.6463975067816529,0.0867409941320325,-0.180120511637891,51
2020-06-19,9288.0185546875,-1.3156009327927487,1,0.1759916329057887,0.7525370806455612,0.0714712732005864,-0.1045203597052022,40
2020-06-20,9332.3408203125,0.4771982890003023,0,0.0833943890980803,0.8207266067083065,0.0958790046234543,0.012484615525374,26
2020-06-21,9303.6298828125,-0.3076499032001578,1,0.0894244851544499,0.7690959711869557,0.1414795491844415,0.0520550640299916,15
