Date,Close,Return,Direction
2020-01-02,6985.47021484375,-2.9819292162590716,1
2020-01-03,7344.88427734375,5.145166344511276,1
2020-01-04,7410.65673828125,0.8954866877941559,1
2020-01-05,7411.3173828125,0.008914790612779555,1
2020-01-06,7769.21923828125,4.829126010697582,1
2020-01-07,8163.6923828125,5.077384643588934,0
2020-01-08,8079.86279296875,-1.0268587535248286,0
2020-01-09,7879.0712890625,-2.4850855645838776,1
2020-01-10,8166.55419921875,3.648690303834745,0
2020-01-11,8037.53759765625,-1.5798168776598898,1
2020-01-12,8192.494140625,1.9279106453440997,0
2020-01-13,8144.1943359375,-0.5895616628883604,1
2020-01-14,8827.7646484375,8.393344808628168,0
2020-01-15,8807.0107421875,-0.2350980919464507,0
2020-01-16,8723.7861328125,-0.9449813541879348,1
2020-01-17,8929.0380859375,2.352785247141642,1
2020-01-18,8942.80859375,0.15422162701026476,0
2020-01-19,8706.2451171875,-2.6452928527155417,0
2020-01-20,8657.642578125,-0.5582491465413786,1
2020-01-21,8745.89453125,1.0193531591149663,0
2020-01-22,8680.8759765625,-0.7434180055016837,0
2020-01-23,8406.515625,-3.160514587505292,1
2020-01-24,8445.4345703125,0.4629616722148233,0
2020-01-25,8367.84765625,-0.918684685986848,1
2020-01-26,8596.830078125,2.7364554337216074,1
2020-01-27,8909.8193359375,3.6407519395889265,1
2020-01-28,9358.58984375,5.036808165148732,0
2020-01-29,9316.6298828125,-0.4483577295090302,1
2020-01-30,9508.9931640625,2.064730312029206,0
2020-01-31,9350.529296875,-1.6664631518128026,1
2020-02-01,9392.875,0.45286958396197896,0
2020-02-02,9344.365234375,-0.516452796667688,0
2020-02-03,9293.521484375,-0.5441113304621492,0
2020-02-04,9180.962890625,-1.2111511652417528,1
2020-02-05,9613.423828125,4.710409383547343,1
2020-02-06,9729.8017578125,1.2105773319493585,1
2020-02-07,9795.943359375,0.6797836503646293,1
2020-02-08,9865.119140625,0.7061676319697785,1
2020-02-09,10116.673828125,2.549940694219166,0
2020-02-10,9856.611328125,-2.5706324471686526,1
2020-02-11,10208.236328125,3.5674025108068053,1
2020-02-12,10326.0546875,1.1541499979814906,0
2020-02-13,10214.3798828125,-1.0814856987217514,1
2020-02-14,10312.1162109375,0.9568503349817403,0
2020-02-15,9889.4248046875,-4.09897830477971,1
2020-02-16,9934.43359375,0.4551203932625647,0
2020-02-17,9690.142578125,-2.4590331529186438,1
2020-02-18,10141.99609375,4.66302236506857,0
2020-02-19,9633.38671875,-5.014884351152826,0
2020-02-20,9608.4755859375,-0.2585916411308786,1
2020-02-21,9686.44140625,0.8114275736580634,0
2020-02-22,9663.181640625,-0.2401270461409255,1
2020-02-23,9924.515625,2.704430011708836,0
2020-02-24,9650.1748046875,-2.7642741538078885,0
2020-02-25,9341.705078125,-3.1965195740564556,0
2020-02-26,8820.5224609375,-5.579095174048332,0
2020-02-27,8784.494140625,-0.40846016176541156,0
2020-02-28,8672.455078125,-1.2754184897438958,0
2020-02-29,8599.5087890625,-0.8411261679117432,0
2020-03-01,8562.4541015625,-0.43089307085921735,1
2020-03-02,8869.669921875,3.587941221856461,0
2020-03-03,8787.7861328125,-0.9231886844013548,0
2020-03-04,8755.24609375,-0.37028710724991143,1
2020-03-05,9078.7626953125,3.695117168590434,1
2020-03-06,9122.5458984375,0.4822595830994203,0
2020-03-07,8909.9541015625,-2.330399860322019,0
2020-03-08,8108.1162109375,-8.999349283790192,0
2020-03-09,7923.64453125,-2.275148442478603,0
2020-03-10,7909.7294921875,-0.17561412564156553,1
2020-03-11,7911.43017578125,0.021501160000858555,0
2020-03-12,4970.7880859375,-37.169538560117076,1
2020-03-13,5563.70703125,11.928067241286833,0
2020-03-14,5200.3662109375,-6.530552710121185,1
2020-03-15,5392.31494140625,3.6910617960911996,0
2020-03-16,5014.47998046875,-7.006915676163484,1
2020-03-17,5225.62939453125,4.210793838741411,1
2020-03-18,5238.4384765625,0.24512036855608432,1
2020-03-19,6191.19287109375,18.187755736638024,1
2020-03-20,6198.7783203125,0.1225199953657663,0
2020-03-21,6185.06640625,-0.221203491300348,0
2020-03-22,5830.2548828125,-5.7365838963178035,1
2020-03-23,6416.31494140625,10.052048673231173,1
2020-03-24,6734.8037109375,4.963733427047878,0
2020-03-25,6681.06298828125,-0.7979552925792555,1
2020-03-26,6716.4404296875,0.5295181540467819,0
2020-03-27,6469.79833984375,-3.672214358569481,0
2020-03-28,6242.19384765625,-3.5179534234601295,0
2020-03-29,5922.04296875,-5.128819878390301,1
2020-03-30,6429.841796875,8.574723804008189,1
2020-03-31,6438.64453125,0.13690436954885143,1
2020-04-01,6606.7763671875,2.6112924097839496,1
2020-04-02,6793.62451171875,2.828128789998541,0
2020-04-03,6733.38720703125,-0.8866740365705117,1
2020-04-04,6867.52734375,1.992164308903499,0
2020-04-05,6791.12939453125,-1.1124520572645125,1
2020-04-06,7271.78125,7.0776424294876294,0
2020-04-07,7176.41455078125,-1.3114627068677276,1
2020-04-08,7334.0986328125,2.197254365887824,0
2020-04-09,7302.08935546875,-0.43644459866604146,0
2020-04-10,6865.4931640625,-5.979058460566089,0
2020-04-11,6859.0830078125,-0.09336774645052337,1
2020-04-12,6971.091796875,1.6329994685138294,0
2020-04-13,6845.03759765625,-1.8082418492216368,0
2020-04-14,6842.427734375,-0.03812781513637953,0
2020-04-15,6642.10986328125,-2.9275847531044064,1
2020-04-16,7116.80419921875,7.146740203164859,0
2020-04-17,7096.1845703125,-0.2897315751431484,1
2020-04-18,7257.6650390625,2.275595669052466,0
2020-04-19,7189.4248046875,-0.9402505352301915,0
2020-04-20,6881.95849609375,-4.276646838190478,0
2020-04-21,6880.3232421875,-0.023761461322069355,1
2020-04-22,7117.20751953125,3.4429236680519004,1
2020-04-23,7429.724609375,4.391007132869618,1
2020-04-24,7550.90087890625,1.6309658285092787,1
2020-04-25,7569.93603515625,0.2520911948821203,1
2020-04-26,7679.8671875,1.4522071498782596,1
2020-04-27,7795.60107421875,1.5069777105927384,1
2020-04-28,7807.05859375,0.1469741643032707,1
2020-04-29,8801.0380859375,12.731805202323422,0
2020-04-30,8658.5537109375,-1.6189496467202469,1
2020-05-01,8864.7666015625,2.3816089558295506,1
2020-05-02,8988.5966796875,1.3968791699848548,0
2020-05-03,8897.46875,-1.0138170944239966,1
2020-05-04,8912.654296875,0.17067266322232655,1
2020-05-05,9003.0703125,1.0144678859214995,1
2020-05-06,9268.76171875,2.9511199738283755,1
2020-05-07,9951.5185546875,7.366214135771076,0
2020-05-08,9842.666015625,-1.0938284289408906,0
2020-05-09,9593.896484375,-2.5274608612654736,0
2020-05-10,8756.4306640625,-8.729152140388742,0
2020-05-11,8601.7958984375,-1.7659566044374797,1
2020-05-12,8804.4775390625,2.3562712138033515,1
2020-05-13,9269.9873046875,5.287193516704303,1
2020-05-14,9733.7216796875,5.002535168149658,0
2020-05-15,9328.197265625,-4.166180495059313,1
2020-05-16,9377.013671875,0.5233209039209763,1
2020-05-17,9670.7392578125,3.132400103227817,1
2020-05-18,9726.5751953125,0.5773698991511145,1
2020-05-19,9729.0380859375,0.025321252090737545,0
2020-05-20,9522.9814453125,-2.117954918100662,0
2020-05-21,9081.76171875,-4.633209978369557,1
2020-05-22,9182.5771484375,1.110086707949609,1
2020-05-23,9209.287109375,0.29087652089092586,0
2020-05-24,8790.3681640625,-4.548874851409979,1
2020-05-25,8906.9345703125,1.3260696716498988,0
2020-05-26,8835.052734375,-0.8070322664891605,1
2020-05-27,9181.017578125,3.9158209254817056,1
2020-05-28,9525.7509765625,3.7548495632866885,0
2020-05-29,9439.1240234375,-0.9093976247976698,1
2020-05-30,9700.4140625,2.768159825145977,0
2020-05-31,9461.05859375,-2.4674768232348376,1
2020-06-01,10167.2685546875,7.464386293982206,0
2020-06-02,9529.8037109375,-6.269774820259899,1
2020-06-03,9656.7177734375,1.3317594606312655,1
2020-06-04,9800.63671875,1.4903505382374727,0
2020-06-05,9665.533203125,-1.3785177382049874,0
2020-06-06,9653.6796875,-0.12263695520872142,1
2020-06-07,9758.8525390625,1.0894586827723485,1
2020-06-08,9771.4892578125,0.1294898011771073,1
2020-06-09,9795.7001953125,0.24777121338637187,1
2020-06-10,9870.0947265625,0.7594610876882513,0
2020-06-11,9321.78125,-5.555301055894358,1
2020-06-12,9480.84375,1.7063530642279279,0
2020-06-13,9475.27734375,-0.05871213994007585,0
2020-06-14,9386.7880859375,-0.9338962291258746,1
2020-06-15,9450.7021484375,0.6808938469139436,1
2020-06-16,9538.0244140625,0.9239764861221245,0
2020-06-17,9480.2548828125,-0.6056760681470541,0
2020-06-18,9411.8408203125,-0.7216479234543938,0
2020-06-19,9288.0185546875,-1.3156009327927487,1
2020-06-20,9332.3408203125,0.47719828900030237,0
2020-06-21,9303.6298828125,-0.30764990320015784,1
2020-06-22,9648.7177734375,3.709174751916078,0
2020-06-23,9629.658203125,-0.19753474772544743,0
2020-06-24,9313.6103515625,-3.282025643027875,0
2020-06-25,9264.8134765625,-0.5239308190707503,0
2020-06-26,9162.91796875,-1.0998117562784016,0
2020-06-27,9045.390625,-1.2826410118569775,1
2020-06-28,9143.58203125,1.0855408054862181,1
2020-06-29,9190.8544921875,0.5170015512075743,0
2020-06-30,9137.9931640625,-0.5751513982724221,1
2020-07-01,9228.3251953125,0.988532488788163,0
2020-07-02,9123.41015625,-1.1368806022981404,0
2020-07-03,9087.3037109375,-0.395756024273064,1
2020-07-04,9132.48828125,0.4972274697731871,0
2020-07-05,9073.9423828125,-0.641072801130238,1
2020-07-06,9375.474609375,3.32305643833104,0
2020-07-07,9252.27734375,-1.314037643510968,1
2020-07-08,9428.3330078125,1.9028359994139876,0
2020-07-09,9277.9677734375,-1.5948231171979632,1
2020-07-10,9278.8076171875,0.009052022711308894,0
2020-07-11,9240.3466796875,-0.4145030168397623,1
2020-07-12,9276.5,0.3912550206798482,0
2020-07-13,9243.6142578125,-0.3545059255915528,0
2020-07-14,9243.2138671875,-0.004331537576462985,0
2020-07-15,9192.8369140625,-0.5450155524782674,0
2020-07-16,9132.2275390625,-0.6593108913667822,1
2020-07-17,9151.392578125,0.2098616025556055,1
2020-07-18,9159.0400390625,0.08356608977502233,1
2020-07-19,9185.8173828125,0.2923597193133398,0
2020-07-20,9164.2314453125,-0.23499201650132306,1
2020-07-21,9374.8876953125,2.298678850016933,1
2020-07-22,9525.36328125,1.6050921443329758,1
2020-07-23,9581.072265625,0.584848921034431,0
2020-07-24,9536.892578125,-0.4611142289210002,1
2020-07-25,9677.11328125,1.4702976045533722,1
2020-07-26,9905.1669921875,2.356629547567324,1
2020-07-27,10990.873046875,10.96100707382146,0
2020-07-28,10912.8232421875,-0.7101328925793737,1
2020-07-29,11100.4677734375,1.7194865809297744,1
2020-07-30,11111.2138671875,0.09680757576464583,1
2020-07-31,11323.466796875,1.9102587010254801,1
2020-08-01,11759.5927734375,3.851523428168302,0
2020-08-02,11053.6142578125,-6.0034265575901635,1
2020-08-03,11246.3486328125,1.7436321777176023,0
2020-08-04,11205.892578125,-0.359726129861071,1
2020-08-05,11747.0224609375,4.828976175167332,1
2020-08-06,11779.7734375,0.2788023660583505,0
2020-08-07,11601.47265625,-1.513618086086388,1
2020-08-08,11754.0458984375,1.3151196120374076,0
2020-08-09,11675.7392578125,-0.6662100973708895,1
2020-08-10,11878.111328125,1.7332698670629254,0
2020-08-11,11410.525390625,-3.9365343915648388,1
2020-08-12,11584.9345703125,1.5284938573538076,1
2020-08-13,11784.1376953125,1.7195015111304723,0
2020-08-14,11768.87109375,-0.12955213149429268,1
2020-08-15,11865.6982421875,0.8227394765919493,1
2020-08-16,11892.8037109375,0.22843551383793237,1
2020-08-17,12254.40234375,3.040482644811049,0
2020-08-18,11991.2333984375,-2.1475461465219614,0
