Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7,fng_value,fng_lag_1,fng_lag_2,fng_lag_3,fng_rolling_3,fng_rolling_7
2020-01-14,8827.7646484375,8.393344808628168,0,0.0684,0.8406,0.0909,0.0283,444,-0.5895616628883604,1.9279106453441,-1.5798168776598898,0.0462,0.0852,0.0231,0.0532333333333333,0.0295571428571428,6.09807428216624,3.2438979303613027,1.1840889855928651,3.82398230186626,56,49.0,45.0,50.0,50.0,48.0
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.0723,0.8451,0.0827,0.0114,383,8.393344808628168,-0.5895616628883604,1.9279106453441,0.0283,0.0462,0.0852,0.0286333333333333,0.0343714285714285,5.950642552587727,2.52289501793112,1.2971976515326331,3.758840489071253,54,56.0,49.0,45.0,53.0,48.42857142857143
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.0688,0.847,0.0842,0.0116,376,-0.2350980919464507,8.393344808628168,-0.5895616628883604,0.0114,0.0283,0.0462,0.0171,0.0361571428571428,5.932245187448011,2.404421787497928,1.517212538732054,3.5392123758057688,55,54.0,56.0,49.0,55.0,50.0
2020-01-17,8929.0380859375,2.352785247141642,1,0.0735,0.8201,0.1018,0.0278,431,-0.9449813541879348,-0.2350980919464507,8.393344808628168,0.0116,0.0114,0.0283,0.0169333333333333,0.0333714285714285,6.068425588244111,0.3909019336690858,1.3320832449187532,3.4416861116381456,54,55.0,54.0,56.0,54.333333333333336,51.857142857142854
2020-01-18,8942.80859375,0.1542216270102647,0,0.0506,0.8434,0.094,0.0621,248,2.352785247141642,-0.9449813541879348,-0.2350980919464507,0.0278,0.0116,0.0114,0.0338333333333333,0.0389428571428571,5.517452896464707,0.5206751733213243,1.579803031300204,3.254480495290858,51,54.0,55.0,54.0,53.333333333333336,52.0
2020-01-19,8706.2451171875,-2.6452928527155417,0,0.0416,0.8804,0.078,0.0432,193,0.1542216270102647,2.352785247141642,-0.9449813541879348,0.0621,0.0278,0.0116,0.0443666666666666,0.0329428571428571,5.267858159063328,-0.0460953261878779,0.9264882458631124,3.612302465682339,53,51.0,54.0,55.0,52.666666666666664,53.142857142857146
2020-01-20,8657.642578125,-0.5582491465413786,1,0.071,0.8497,0.0794,-0.0008,259,-2.6452928527155417,0.1542216270102647,2.352785247141642,0.0432,0.0621,0.0278,0.0348333333333333,0.0262285714285714,5.560681631015528,-1.0164401240822185,0.9309614624841096,3.610130938353862,48,53.0,51.0,54.0,50.666666666666664,53.0
2020-01-21,8745.89453125,1.0193531591149665,0,0.0887,0.8311,0.0802,-0.0134,434,-0.5582491465413786,-2.6452928527155417,0.1542216270102647,-0.0008,0.0432,0.0621,0.0096666666666666,0.0202714285714285,6.075346031088684,-0.7280629467139844,-0.1224659160177761,1.567958096120664,49,48.0,53.0,51.0,50.0,52.0
2020-01-22,8680.8759765625,-0.7434180055016837,0,0.0739,0.8371,0.087,0.0247,498,1.0193531591149665,-0.5582491465413786,-2.6452928527155417,-0.0134,-0.0008,0.0432,0.0034999999999999,0.0221714285714285,6.212606095751519,-0.0941046643093649,-0.1950830465256666,1.5857142609362522,52,49.0,48.0,53.0,49.666666666666664,51.714285714285715
2020-01-23,8406.515625,-3.160514587505292,1,0.0528,0.8538,0.0888,0.0531,436,-0.7434180055016837,1.0193531591149665,-0.5582491465413786,0.0247,-0.0134,-0.0008,0.0214666666666666,0.0281,6.07993319509559,-0.9615264779640028,-0.5115877941424319,1.9415263870459425,49,52.0,49.0,48.0,50.0,50.857142857142854
2020-01-24,8445.4345703125,0.4629616722148233,0,0.0859,0.8359,0.0781,-0.0113,570,-3.160514587505292,-0.7434180055016837,1.0193531591149665,0.0531,0.0247,-0.0134,0.0221666666666666,0.0225142857142857,6.3473892096560105,-1.1469903069307172,-0.781562590560549,1.5733222427615412,40,49.0,52.0,49.0,47.0,48.857142857142854
2020-01-25,8367.84765625,-0.918684685986848,1,0.0815,0.8328,0.0783,-0.0235,266,0.4629616722148233,-3.160514587505292,-0.7434180055016837,-0.0113,0.0531,0.0247,0.0061,0.0102857142857142,5.58724865840025,-1.2054125337591055,-0.934834920988708,1.5182622080130823,41,40.0,49.0,52.0,43.333333333333336,47.42857142857143
2020-01-26,8596.830078125,2.736455433721608,1,0.0696,0.8463,0.0841,0.0116,248,-0.918684685986848,0.4629616722148233,-3.160514587505292,-0.0235,-0.0113,0.0531,-0.0077333333333333,0.0057714285714285,5.517452896464707,0.7602441399831946,-0.1660137372119722,1.836927926262545,42,41.0,40.0,49.0,41.0,45.857142857142854
2020-01-27,8909.8193359375,3.640751939588928,1,0.0821,0.8474,0.067,-0.02,561,2.736455433721608,-0.918684685986848,0.4629616722148233,0.0116,-0.0235,-0.0113,-0.0106333333333333,0.0030285714285714,6.331501849893691,1.8195075624412291,0.4338435608066429,2.311732398495896,50,42.0,41.0,40.0,44.333333333333336,46.142857142857146
2020-01-28,9358.58984375,5.036808165148732,0,0.0847,0.8377,0.0776,-0.0099,455,3.640751939588928,2.736455433721608,-0.918684685986848,-0.02,0.0116,-0.0235,-0.0061,0.0035285714285714,6.1224928095143865,3.8046718461530897,1.0077657045257522,2.9041176331572878,54,50.0,42.0,41.0,48.666666666666664,46.857142857142854
2020-01-29,9316.6298828125,-0.4483577295090302,1,0.0738,0.8421,0.0824,-0.003,619,5.036808165148732,3.640751939588928,2.736455433721608,-0.0099,-0.02,0.0116,-0.0109666666666666,-0.0004285714285714,6.429719478039138,2.743067458409544,1.0499171725247027,2.876473802198015,57,54.0,50.0,42.0,53.666666666666664,47.57142857142857
2020-01-30,9508.9931640625,2.064730312029206,0,0.0714,0.8308,0.0962,0.0092,652,-0.4483577295090302,5.036808165148732,3.640751939588928,-0.003,-0.0099,-0.02,-0.0012333333333333,-0.0066999999999999,6.481577129276431,2.2177269158896364,1.7963807296010597,2.200237275701915,57,57.0,54.0,50.0,56.0,48.714285714285715
2020-01-31,9350.529296875,-1.6664631518128026,1,0.0661,0.8316,0.1023,0.0388,597,2.064730312029206,-0.4483577295090302,5.036808165148732,0.0092,-0.003,-0.0099,0.015,0.0004571428571428,6.393590753950631,-0.016696856430875,1.492177183311399,2.5367882317919017,55,57.0,57.0,54.0,56.333333333333336,50.857142857142854
