Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7,Return_3d,Direction_3d,Return_5d,Direction_5d,Return_7d,Direction_7d
2020-01-08,8079.86279296875,-1.0268587535248286,0,0.0921,0.8259,0.08,-0.0223,510,5.077384643588934,4.829126010697582,0.0089147906127795,-0.0156,0.0092,0.008,-0.0095666666666666,0.0015999999999999,6.236369590203704,2.9598839669205623,1.7067557867744036,3.31487151538344,-0.005238355699472064,0,0.007961959827428311,1,0.08999508628432751,1
2020-01-09,7879.0712890625,-2.4850855645838776,1,0.0785,0.8367,0.0849,-0.0009,419,-1.0268587535248286,5.077384643588934,4.829126010697582,-0.0223,-0.0156,0.0092,-0.0129333333333333,-0.0033,6.040254711277414,0.5218134418267425,1.7777334512994314,3.201112854312263,0.0397791617899923,1,0.12040674904058157,1,0.10720995060961158,1
2020-01-10,8166.55419921875,3.648690303834745,0,0.0616,0.8374,0.1009,0.0473,303,-2.4850855645838776,-1.0268587535248286,5.077384643588934,-0.0009,-0.0223,-0.0156,0.0080333333333333,0.0032857142857142,5.717027701406222,0.0455819952420129,1.5639511597742128,2.98115459212351,-0.0027379801487620314,0,0.07842433018200246,1,0.09336665968514524,1
2020-01-11,8037.53759765625,-1.5798168776598898,1,0.063,0.8611,0.0759,0.0231,194,3.648690303834745,-2.4850855645838776,-1.0268587535248286,0.0473,-0.0009,-0.0223,0.0231666666666666,0.0069714285714285,5.272999558563747,-0.1387373794696741,1.2103363647093492,3.211563092241997,0.09831705807655333,1,0.085380444796471,1,0.1126303902276895,1
2020-01-12,8192.494140625,1.9279106453441,0,0.0518,0.8299,0.1183,0.0852,143,-1.5798168776598898,3.648690303834745,-2.4850855645838776,0.0231,0.0473,-0.0009,0.0518666666666666,0.018,4.969813299576001,1.332261357172985,1.4844786296709664,3.1735953888337667,0.07500970901098736,1,0.08990472653011983,1,0.06270995959764036,1
2020-01-13,8144.1943359375,-0.5895616628883604,1,0.0608,0.8259,0.1133,0.0462,373,1.9279106453441,-1.5798168776598898,3.648690303834745,0.0852,0.0231,0.0473,0.0515,0.0232857142857142,5.924255797414532,-0.0804892984013834,0.7103803905872603,2.8679442869311345,0.0711662532802615,1,0.09805933219060026,1,0.06304469429490789,1
2020-01-14,8827.7646484375,8.393344808628168,0,0.0684,0.8406,0.0909,0.0283,444,-0.5895616628883604,1.9279106453441,-1.5798168776598898,0.0462,0.0852,0.0231,0.0532333333333333,0.0295571428571428,6.09807428216624,3.2438979303613027,1.1840889855928651,3.82398230186626,0.011472149692835831,1,-0.01376560614033917,0,-0.009274161743991538,0
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.0723,0.8451,0.0827,0.0114,383,8.393344808628168,-0.5895616628883604,1.9279106453441,0.0283,0.0462,0.0852,0.0286333333333333,0.0343714285714285,5.950642552587727,2.52289501793112,1.2971976515326331,3.758840489071253,0.015419289874599507,1,-0.016960143280738138,0,-0.014322086042292126,0
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.0688,0.847,0.0842,0.0116,376,-0.2350980919464507,8.393344808628168,-0.5895616628883604,0.0114,0.0283,0.0462,0.0171,0.0361571428571428,5.932245187448011,2.404421787497928,1.517212538732054,3.5392123758057688,-0.0020107113308318603,0,0.002534266441303945,1,-0.036368441750212144,0
2020-01-17,8929.0380859375,2.352785247141642,1,0.0735,0.8201,0.1018,0.0278,431,-0.9449813541879348,-0.2350980919464507,8.393344808628168,0.0116,0.0114,0.0283,0.0169333333333333,0.0333714285714285,6.068425588244111,0.3909019336690858,1.3320832449187532,3.4416861116381456,-0.0303947082765752,0,-0.027792703646973504,0,-0.05416076300387107,0
2020-01-18,8942.80859375,0.1542216270102647,0,0.0506,0.8434,0.094,0.0621,248,2.352785247141642,-0.9449813541879348,-0.2350980919464507,0.0278,0.0116,0.0114,0.0338333333333333,0.0389428571428571,5.517452896464707,0.5206751733213243,1.579803031300204,3.254480495290858,-0.022019263907495534,0,-0.05996918788184813,0,-0.0642931056247622,0
2020-01-19,8706.2451171875,-2.6452928527155417,0,0.0416,0.8804,0.078,0.0432,193,0.1542216270102647,2.352785247141642,-0.9449813541879348,0.0621,0.0278,0.0116,0.0443666666666666,0.0329428571428571,5.267858159063328,-0.0460953261878779,0.9264882458631124,3.612302465682339,-0.002913901490657289,0,-0.029956719959574607,0,-0.01256742000595612,0
2020-01-20,8657.642578125,-0.5582491465413786,1,0.071,0.8497,0.0794,-0.0008,259,-2.6452928527155417,0.1542216270102647,2.352785247141642,0.0432,0.0621,0.0278,0.0348333333333333,0.0262285714285714,5.560681631015528,-1.0164401240822185,0.9309614624841096,3.610130938353862,-0.029006389540671806,0,-0.0334727287780644,0,0.02912764710911797,1
2020-01-21,8745.89453125,1.0193531591149665,0,0.0887,0.8311,0.0802,-0.0134,434,-0.5582491465413786,-2.6452928527155417,0.1542216270102647,-0.0008,0.0432,0.0621,0.0096666666666666,0.0202714285714285,6.075346031088684,-0.7280629467139844,-0.1224659160177761,1.567958096120664,-0.03435440021188518,0,-0.017043934453174203,0,0.07005519107402636,1
2020-01-22,8680.8759765625,-0.7434180055016837,0,0.0739,0.8371,0.087,0.0247,498,1.0193531591149665,-0.5582491465413786,-2.6452928527155417,-0.0134,-0.0008,0.0432,0.0034999999999999,0.0221714285714285,6.212606095751519,-0.0941046643093649,-0.1950830465256666,1.5857142609362522,-0.03605953145254526,0,0.02637330149550854,1,0.07323614667073608,1
2020-01-23,8406.515625,-3.160514587505292,1,0.0528,0.8538,0.0888,0.0531,436,-0.7434180055016837,1.0193531591149665,-0.5582491465413786,0.0247,-0.0134,-0.0008,0.0214666666666666,0.0281,6.07993319509559,-0.9615264779640028,-0.5115877941424319,1.9415263870459425,0.022638922190191035,1,0.11325432096011845,1,0.13114560041783063,1
2020-01-24,8445.4345703125,0.4629616722148233,0,0.0859,0.8359,0.0781,-0.0113,570,-3.160514587505292,-0.7434180055016837,1.0193531591149665,0.0531,0.0247,-0.0134,0.0221666666666666,0.0225142857142857,6.3473892096560105,-1.1469903069307172,-0.781562590560549,1.5733222427615412,0.05498648550986496,1,0.10315577075955762,1,0.10716970441569695,1
2020-01-25,8367.84765625,-0.918684685986848,1,0.0815,0.8328,0.0783,-0.0235,266,0.4629616722148233,-3.160514587505292,-0.7434180055016837,-0.0113,0.0531,0.0247,0.0061,0.0102857142857142,5.58724865840025,-1.2054125337591055,-0.934834920988708,1.5182622080130823,0.11839868843214507,1,0.13637264380167946,1,0.12249593752873844,1
2020-01-26,8596.830078125,2.736455433721608,1,0.0696,0.8463,0.0841,0.0116,248,-0.918684685986848,0.4629616722148233,-3.160514587505292,-0.0235,-0.0113,0.0531,-0.0077333333333333,0.0057714285714285,5.517452896464707,0.7602441399831946,-0.1660137372119722,1.836927926262545,0.08372851366680623,1,0.08767175946257444,1,0.08695474372026202,1
2020-01-27,8909.8193359375,3.640751939588928,1,0.0821,0.8474,0.067,-0.02,561,2.736455433721608,-0.918684685986848,0.4629616722148233,0.0116,-0.0235,-0.0113,-0.0106333333333333,0.0030285714285714,6.331501849893691,1.8195075624412291,0.4338435608066429,2.311732398495896,0.06724870679568662,1,0.0542161008937756,1,0.04306508740192383,1
2020-01-28,9358.58984375,5.036808165148732,0,0.0847,0.8377,0.0776,-0.0099,455,3.640751939588928,2.736455433721608,-0.918684685986848,-0.02,0.0116,-0.0235,-0.0061,0.0035285714285714,6.1224928095143865,3.8046718461530897,1.0077657045257522,2.9041176331572878,-0.0008612992993152213,0,-0.0015199522163586998,0,-0.01898009808001422,0
2020-01-29,9316.6298828125,-0.4483577295090302,1,0.0738,0.8421,0.0824,-0.003,619,5.036808165148732,3.640751939588928,2.736455433721608,-0.0099,-0.02,0.0116,-0.0109666666666666,-0.0004285714285714,6.429719478039138,2.743067458409544,1.0499171725247027,2.876473802198015,0.0081837658194579,1,-0.002480338784320635,0,0.03185636319631313,1
2020-01-30,9508.9931640625,2.064730312029206,0,0.0714,0.8308,0.0962,0.0092,652,-0.4483577295090302,5.036808165148732,3.640751939588928,-0.003,-0.0099,-0.02,-0.0012333333333333,-0.0066999999999999,6.481577129276431,2.2177269158896364,1.7963807296010597,2.200237275701915,-0.017312866551390638,0,-0.03449684606749226,0,0.02322102770927481,1
2020-01-31,9350.529296875,-1.6664631518128026,1,0.0661,0.8316,0.1023,0.0388,597,2.064730312029206,-0.4483577295090302,5.036808165148732,0.0092,-0.003,-0.0099,0.015,0.0004571428571428,6.393590753950631,-0.016696856430875,1.492177183311399,2.5367882317919017,-0.006096747113455092,0,0.028115470568907952,1,0.04763517105377768,1
2020-02-01,9392.875,0.4528695839619789,0,0.0682,0.8117,0.1201,0.0565,311,-1.6664631518128026,2.064730312029206,-0.4483577295090302,0.0388,0.0092,-0.003,0.0348333333333333,0.0118857142857142,5.7430031878094825,0.2837122480594614,1.6881135075898026,2.3668169633769875,-0.022560942136992113,0,0.035870461154066335,1,0.050276847144777204,1
2020-02-02,9344.365234375,-0.516452796667688,0,0.069,0.8487,0.0823,0.0088,334,0.4528695839619789,-1.6664631518128026,2.064730312029206,0.0565,0.0388,0.0092,0.0347,0.0114857142857142,5.814130531825066,-0.5766821215061699,1.223412331819903,2.4447357302723844,0.028793672657423164,1,0.04832624942128594,1,0.08264965831054183,1
2020-02-03,9293.521484375,-0.5441113304621492,0,0.063,0.841,0.096,0.0334,725,-0.516452796667688,0.4528695839619789,-1.6664631518128026,0.0088,0.0565,0.0388,0.0329,0.0191142857142857,6.587550014824796,-0.2025648477226188,0.6255747218126065,2.259761683861306,0.04694455962371302,1,0.06150495882653462,1,0.060589502557960584,1
2020-02-04,9180.962890625,-1.2111511652417528,1,0.0655,0.8236,0.1102,0.057,1460,-0.5441113304621492,-0.516452796667688,0.4528695839619789,0.0334,0.0088,0.0565,0.0330666666666666,0.0286714285714285,7.2868764117507,-0.7572384307905294,-0.2669908968146056,1.2231792601500269,0.06698431047771458,1,0.10191860577668677,1,0.11189168823991058,1
2020-02-05,9613.423828125,4.710409383547343,1,0.0762,0.827,0.0951,0.0269,1196,-1.2111511652417528,-0.5441113304621492,-0.516452796667688,0.057,0.0334,0.0088,0.0391,0.0329428571428571,7.087573705557973,0.9850489626144808,0.469975833622019,2.2329645804520144,0.026181651511466786,1,0.025296658542041106,1,0.07412872584376551,1
2020-02-06,9729.8017578125,1.2105773319493585,1,0.0636,0.8577,0.0776,0.0258,963,4.710409383547343,-1.2111511652417528,-0.5441113304621492,0.0269,0.057,0.0334,0.0365666666666666,0.0353142857142857,6.871091294610546,1.569945183418317,0.3479539793248979,2.153207232160188,0.03976155732071951,1,0.04917207793348344,1,0.04980349415761842,1
2020-02-07,9795.943359375,0.6797836503646293,1,0.0614,0.8441,0.0945,0.0414,865,1.2105773319493585,4.710409383547343,-1.2111511652417528,0.0258,0.0269,0.057,0.0313666666666666,0.0356857142857142,6.763884908562435,2.200256788620444,0.6831320939216738,1.9614464170007448,0.006193172676109748,1,0.054115393349806196,1,0.05269251083087445,1
2020-02-08,9865.119140625,0.7061676319697785,1,0.072,0.8374,0.0884,0.0149,453,0.6797836503646293,1.2105773319493585,4.710409383547343,0.0414,0.0258,0.0269,0.0273666666666666,0.0297428571428571,6.118097198041348,0.8655095380945893,0.7193175293513596,1.958825174815674,0.034780845786953396,1,0.03540360103196605,1,0.00246379832985566,1
2020-02-09,10116.673828125,2.549940694219166,0,0.0631,0.8343,0.1026,0.0619,371,0.7061676319697785,0.6797836503646293,1.2105773319493585,0.0149,0.0414,0.0258,0.0394,0.0373285714285714,5.918893854273146,1.3119639921845252,1.1573737423351955,1.979173924726136,0.020696610658031522,1,0.019318838002778893,1,-0.018013848965690693,0
2020-02-10,9856.611328125,-2.5706324471686526,1,0.0545,0.8426,0.1029,0.064,749,2.549940694219166,0.7061676319697785,0.6797836503646293,0.0619,0.0149,0.0414,0.0469333333333333,0.0417,6.620073206530356,0.2284919596734312,0.8678707256628382,2.3776413825920426,0.03629731788922608,1,0.0033290829343011197,1,-0.01688904476987907,0
2020-02-11,10208.236328125,3.5674025108068053,1,0.0568,0.8497,0.0934,0.0463,1091,-2.5706324471686526,2.549940694219166,0.7061676319697785,0.064,0.0619,0.0149,0.0574,0.0401714285714285,6.9957661563048505,1.1822369192857736,1.5505212508126325,2.367211049773419,0.010176085219177233,1,-0.02682174722196018,0,-0.006488900946826637,0
2020-02-12,10326.0546875,1.1541499979814906,0,0.0567,0.8491,0.0943,0.0462,1095,3.5674025108068053,-2.5706324471686526,2.549940694219166,0.0463,0.064,0.0619,0.0521666666666666,0.0429285714285714,6.999422467507961,0.716973353873215,1.0424841957317963,1.914316002229128,-0.04228428921077221,0,-0.06158325988189761,0,-0.0670796339659614,0
2020-02-13,10214.3798828125,-1.0814856987217514,1,0.0644,0.8295,0.1061,0.0486,913,1.1541499979814906,3.5674025108068053,-2.5706324471686526,0.0462,0.0463,0.064,0.0470333333333333,0.0461857142857142,6.81783057145415,1.2133556033555155,0.7150466199216378,2.0704315084090394,-0.0274070763251677,0,-0.00708645947115194,0,-0.05931875491477867,0
2020-02-14,10312.1162109375,0.9568503349817404,0,0.0654,0.831,0.1036,0.05,943,-1.0814856987217514,1.1541499979814906,3.5674025108068053,0.0486,0.0462,0.0463,0.0482666666666666,0.0474142857142857,6.8501261661455,0.3431715447471604,0.7546275748669393,2.07229256226495,-0.06031483936854842,0,-0.06581864268244075,0,-0.060673754241043265,0
2020-02-15,9889.4248046875,-4.09897830477971,1,0.045,0.8575,0.0976,0.0762,380,0.9568503349817404,-1.0814856987217514,1.1541499979814906,0.05,0.0486,0.0462,0.0582666666666666,0.0561714285714285,5.942799375126701,-1.4078712228399064,0.0681781553312981,2.769567680208141,0.025539532788882102,1,-0.02840905556173834,0,-0.022877282403245824,0
2020-02-16,9934.43359375,0.4551203932625647,0,0.0526,0.8582,0.0892,0.0482,323,-4.09897830477971,0.9568503349817404,-1.0814856987217514,0.0762,0.05,0.0486,0.0581333333333333,0.0542142857142857,5.780743515792329,-0.8956691921784676,-0.231081887662502,2.562118712909967,-0.030303375845140867,0,-0.02496289145825259,0,-0.0009983426489699188,0
2020-02-17,9690.142578125,-2.459033152918644,1,0.06,0.8488,0.0912,0.0192,479,0.4551203932625647,-4.09897830477971,0.9568503349817404,0.0482,0.0762,0.05,0.0478666666666666,0.0478142857142857,6.173786103901937,-2.034297021478596,-0.2151391313410722,2.545427423629071,-0.008427842163216348,0,-0.0027823055525377782,0,-0.004124580532769984,0
