asset,best_model,accuracy,precision,recall,f1,train_acc,overfitting_flag,interpretation
BTC,XGBoost,0.5508,0.5263,0.6195,0.5691,0.8032,True,"Overfitting detected (gap > 20%). Moderate f1, accuracy above random baseline."
SP500,XGBoost,0.4691,0.4314,0.6111,0.5057,0.8127,True,"Overfitting detected (gap > 20%). Low f1, accuracy at or below random baseline."
